#Exported for mctoolsr																																																
ESV_ID	Undetermined_S0_L001_R1_001_Din01	Undetermined_S0_L001_R1_001_Din02	Undetermined_S0_L001_R1_001_Din03	Undetermined_S0_L001_R1_001_Din04	Undetermined_S0_L001_R1_001_Din05	Undetermined_S0_L001_R1_001_Din06	Undetermined_S0_L001_R1_001_Din07	Undetermined_S0_L001_R1_001_Din08	Undetermined_S0_L001_R1_001_Din09	Undetermined_S0_L001_R1_001_Din10	Undetermined_S0_L001_R1_001_Din11	Undetermined_S0_L001_R1_001_Din12	Undetermined_S0_L001_R1_001_Din13	Undetermined_S0_L001_R1_001_Din14	Undetermined_S0_L001_R1_001_Din15	Undetermined_S0_L001_R1_001_Din16	Undetermined_S0_L001_R1_001_Din17	Undetermined_S0_L001_R1_001_Din18	Undetermined_S0_L001_R1_001_Din19	Undetermined_S0_L001_R1_001_Din20	Undetermined_S0_L001_R1_001_Din21	Undetermined_S0_L001_R1_001_Din22	Undetermined_S0_L001_R1_001_Din23	Undetermined_S0_L001_R1_001_Din24	Undetermined_S0_L001_R1_001_Din25	Undetermined_S0_L001_R1_001_Din26	Undetermined_S0_L001_R1_001_Din27	Undetermined_S0_L001_R1_001_Din28	Undetermined_S0_L001_R1_001_Din29	Undetermined_S0_L001_R1_001_Din30	Undetermined_S0_L001_R1_001_DinB1	Undetermined_S0_L001_R1_001_DinB2	Undetermined_S0_L001_R1_001_NTC1a	Undetermined_S0_L001_R1_001_NTC1b	Undetermined_S0_L001_R1_001_NTC1c	Undetermined_S0_L001_R1_001_NTC2a	Undetermined_S0_L001_R1_001_NTC2b	Undetermined_S0_L001_R1_001_NTC2c	Undetermined_S0_L001_R1_001_NTC2d	Undetermined_S0_L001_R1_001_NTC2e	Undetermined_S0_L001_R1_001_NTC2f	Undetermined_S0_L001_R1_001_NTC2g	Undetermined_S0_L001_R1_001_NTC2h	Undetermined_S0_L001_R1_001_NTC3a	Undetermined_S0_L001_R1_001_NTC3b	Undetermined_S0_L001_R1_001_NTC3c	Undetermined_S0_L001_R1_001_NTC3d	taxonomy
ESV_1	2571	835	1391	2147	2339	2619	845	2435	1525	1891	1108	2017	2981	1477	2314	2587	1878	1710	3127	4739	4408	4468	3610	4223	6795	2448	6752	3187	2233	4707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;SAR;Alveolata;Ciliophora;Hypotrichia;uncultured;uncultured_Oxytrichidae;EF024652.1.1761;ESV_1
ESV_10	1126	569	1532	1119	836	903	960	1219	1439	813	200	170	62	59	87	384	158	265	771	996	1002	1371	492	817	718	439	635	167	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;NA;NA;NA;NA;NA;NA;NA;ESV_10
ESV_100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;NA;NA;NA;NA;NA;NA;NA;ESV_100
ESV_101	22	8	26	24	16	20	0	0	8	48	20	26	16	12	13	47	23	24	16	25	16	17	17	15	17	14	20	21	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Aureobasidiaceae;NA;NA;NA;ESV_101
ESV_102	27	155	20	0	0	0	10	0	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;SAR;Stramenopiles;Labyrinthulomycetes;Sorodiplophrys;Sorodiplophrys_stercorea;Sorodiplophrys_stercorea;KU728176.1.1879;ESV_102
ESV_103	0	0	0	33	0	0	60	0	0	65	59	64	39	0	0	0	0	59	0	33	46	0	29	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Opisthokonta;Nucletmycea;Fungi;NA;NA;NA;NA;ESV_103
ESV_104	21	27	11	21	19	7	5	16	45	8	14	20	25	16	16	28	25	9	12	22	16	12	19	18	0	3	8	22	16	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Opisthokonta;Nucletmycea;Fungi;NA;NA;NA;NA;ESV_104
ESV_105	14	33	28	22	25	10	37	19	29	0	9	9	0	0	5	0	4	0	47	37	43	0	18	44	8	44	17	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Gromochytriaceae;uncultured;uncultured_Chytridiomycota;GQ995412.1.1770;ESV_105
ESV_106	60	64	8	33	0	13	50	189	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;SAR;Stramenopiles;Labyrinthulomycetes;Sorodiplophrys;uncultured_freshwater_eukaryote;uncultured_freshwater_eukaryote;AY919750.1.1738;ESV_106
ESV_107	30	13	10	24	7	13	63	174	32	0	14	15	11	0	6	11	0	0	10	18	0	7	0	9	0	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Opisthokonta;Nucletmycea;Fungi;Rhizophydiales;Rhizophydiaceae;uncultured_Chytridiomycota;GQ995433.1.1771;ESV_107
ESV_108	205	92	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;SAR;Alveolata;Ciliophora;Hypotrichia;uncultured;uncultured_Oxytrichidae;NA;ESV_108
